"Date","Price","Open","High","Low","Vol.","Change %"
"18-12-2025","2,229.90","2,236.40","2,245.00","2,211.20","501.82K","-0.12%"
"17-12-2025","2,232.50","2,247.60","2,255.00","2,221.00","651.51K","-0.69%"
"16-12-2025","2,247.90","2,270.00","2,276.80","2,232.10","654.71K","-1.36%"
"15-12-2025","2,278.90","2,282.40","2,300.00","2,273.00","573.03K","-0.15%"
"12-12-2025","2,282.40","2,277.70","2,296.80","2,270.20","929.20K","0.21%"
"11-12-2025","2,277.70","2,225.00","2,293.90","2,192.40","1.52M","2.99%"
"10-12-2025","2,211.60","2,255.80","2,267.50","2,204.10","935.15K","-1.50%"
"09-12-2025","2,245.20","2,216.20","2,257.00","2,178.40","1.23M","1.31%"
"08-12-2025","2,216.20","2,265.40","2,270.40","2,205.00","939.76K","-2.17%"
"05-12-2025","2,265.40","2,217.90","2,268.60","2,202.90","2.40M","2.14%"
"04-12-2025","2,217.90","2,188.00","2,231.70","2,183.40","2.52M","1.28%"
"03-12-2025","2,189.80","2,240.00","2,245.00","2,172.20","1.64M","-2.22%"
"02-12-2025","2,239.60","2,255.00","2,267.20","2,232.20","1.04M","-0.99%"
"01-12-2025","2,262.00","2,300.00","2,304.00","2,257.00","1.31M","-0.80%"
"28-11-2025","2,280.20","2,267.10","2,331.00","2,247.80","3.04M","1.12%"
"27-11-2025","2,255.00","2,310.00","2,320.50","2,243.00","1.47M","-2.59%"
"26-11-2025","2,315.00","2,321.20","2,357.00","2,310.00","1.03M","-0.77%"
"25-11-2025","2,332.90","2,400.90","2,407.70","2,325.30","2.22M","-2.76%"
"24-11-2025","2,399.20","2,426.20","2,432.30","2,393.10","691.42K","-0.95%"
"21-11-2025","2,422.30","2,450.00","2,456.20","2,418.00","547.54K","-0.97%"
"20-11-2025","2,446.10","2,450.10","2,478.90","2,440.40","1.53M","0.53%"
"19-11-2025","2,433.10","2,446.50","2,449.90","2,413.90","774.79K","-0.15%"
"18-11-2025","2,436.80","2,462.00","2,478.60","2,434.30","1.25M","-1.02%"
"17-11-2025","2,462.00","2,460.00","2,474.90","2,421.00","2.67M","0.90%"
"14-11-2025","2,440.00","2,423.71","2,475.77","2,405.29","4.64M","1.15%"
"13-11-2025","2,412.27","2,425.65","2,447.95","2,392.79","2.79M","-2.91%"
"12-11-2025","2,484.50","2,384.00","2,517.50","2,361.00","6.69M","8.28%"
"11-11-2025","2,294.58","2,295.74","2,306.31","2,267.14","654.13K","-0.16%"
"10-11-2025","2,298.36","2,308.25","2,315.13","2,291.86","577.43K","-3.00%"
"07-11-2025","2,369.40","2,315.00","2,402.50","2,291.40","2.23M","2.38%"
"06-11-2025","2,314.30","2,425.10","2,427.10","2,307.60","1.98M","-4.36%"
"04-11-2025","2,419.80","2,479.80","2,488.90","2,390.60","2.07M","-1.91%"
"03-11-2025","2,467.00","2,484.00","2,501.90","2,457.50","731.11K","-0.56%"
"31-10-2025","2,481.00","2,535.00","2,543.50","2,464.90","848.64K","-1.82%"
"30-10-2025","2,526.90","2,550.00","2,559.40","2,511.80","783.33K","-0.41%"
"29-10-2025","2,537.40","2,500.00","2,600.00","2,495.50","1.53M","1.72%"
"28-10-2025","2,494.40","2,495.00","2,516.00","2,479.10","626.99K","0.06%"
"27-10-2025","2,492.80","2,504.20","2,514.60","2,487.10","478.06K","-0.46%"
"24-10-2025","2,504.20","2,554.80","2,554.80","2,497.70","473.77K","-1.63%"
"23-10-2025","2,545.80","2,559.90","2,577.80","2,540.90","852.45K","-0.16%"
"21-10-2025","2,549.90","2,554.90","2,562.00","2,542.30","101.02K","0.07%"
"20-10-2025","2,548.10","2,561.30","2,579.00","2,537.10","747.35K","-0.05%"
"17-10-2025","2,549.40","2,560.00","2,577.20","2,543.10","682.97K","-0.32%"
"16-10-2025","2,557.60","2,544.80","2,579.70","2,540.90","1.02M","0.98%"
"15-10-2025","2,532.80","2,535.00","2,561.40","2,527.30","759.77K","0.63%"
"14-10-2025","2,517.00","2,538.90","2,538.90","2,485.20","673.05K","-0.41%"
"13-10-2025","2,527.40","2,529.10","2,542.10","2,504.00","645.48K","-0.92%"
"10-10-2025","2,550.90","2,552.00","2,565.00","2,538.80","690.14K","0.33%"
"09-10-2025","2,542.40","2,535.00","2,559.00","2,522.20","651.70K","0.73%"
"08-10-2025","2,524.10","2,562.00","2,565.00","2,500.00","1.06M","-0.71%"
"07-10-2025","2,542.20","2,580.70","2,617.30","2,533.10","1.12M","-1.22%"
"06-10-2025","2,573.50","2,589.10","2,599.80","2,562.60","654.96K","-0.63%"
"03-10-2025","2,589.90","2,595.00","2,612.90","2,564.40","917.65K","-0.11%"
"01-10-2025","2,592.70","2,518.40","2,603.40","2,472.10","1.57M","3.46%"
"30-09-2025","2,505.90","2,522.00","2,535.00","2,490.60","712.59K","-0.14%"
"29-09-2025","2,509.50","2,543.70","2,555.00","2,505.00","1.01M","-1.34%"
"26-09-2025","2,543.70","2,572.80","2,605.00","2,535.00","1.04M","-1.27%"
"25-09-2025","2,576.40","2,625.00","2,647.90","2,567.00","1.49M","-1.66%"
"24-09-2025","2,619.80","2,655.00","2,676.00","2,614.40","1.72M","-2.11%"
"23-09-2025","2,676.40","2,642.60","2,695.00","2,593.00","5.61M","1.78%"
"22-09-2025","2,629.50","2,535.00","2,659.00","2,522.10","7.02M","4.18%"
"19-09-2025","2,524.00","2,495.00","2,579.00","2,466.10","7.97M","5.08%"
"18-09-2025","2,402.00","2,414.50","2,438.00","2,388.40","703.73K","0.00%"
"17-09-2025","2,402.00","2,417.00","2,417.00","2,391.00","514.35K","0.11%"
"16-09-2025","2,399.40","2,410.00","2,415.80","2,388.00","752.98K","0.67%"
"15-09-2025","2,383.40","2,392.00","2,402.80","2,378.10","298.13K","-0.36%"
"12-09-2025","2,392.00","2,416.90","2,421.60","2,387.10","533.97K","-0.28%"
"11-09-2025","2,398.80","2,348.00","2,418.70","2,340.20","2.11M","2.50%"
"10-09-2025","2,340.20","2,330.00","2,345.90","2,325.10","390.49K","1.24%"
"09-09-2025","2,311.60","2,320.00","2,325.00","2,297.00","369.43K","0.03%"
"08-09-2025","2,310.90","2,290.00","2,333.90","2,286.00","542.81K","1.29%"
"05-09-2025","2,281.40","2,275.00","2,293.50","2,248.00","443.01K","0.11%"
"04-09-2025","2,278.80","2,309.90","2,317.30","2,275.00","392.70K","-0.43%"
"03-09-2025","2,288.70","2,285.00","2,293.00","2,263.10","443.63K","0.64%"
"02-09-2025","2,274.20","2,291.00","2,302.00","2,264.00","481.89K","-0.44%"
"01-09-2025","2,284.20","2,259.00","2,288.00","2,252.10","425.64K","1.76%"
"29-08-2025","2,244.70","2,283.00","2,289.70","2,240.00","795.70K","-1.34%"
