"Date","Price","Open","High","Low","Vol.","Change %"
"18-12-2025","1,496.90","1,494.80","1,511.00","1,494.00","974.09K","0.00%"
"17-12-2025","1,496.90","1,497.60","1,505.30","1,491.00","1.00M","-0.18%"
"16-12-2025","1,499.60","1,500.00","1,508.90","1,496.10","789.49K","-0.56%"
"15-12-2025","1,508.00","1,505.00","1,515.50","1,498.00","855.51K","-0.62%"
"12-12-2025","1,517.40","1,520.00","1,524.70","1,510.20","1.05M","0.34%"
"11-12-2025","1,512.30","1,492.00","1,513.40","1,492.00","606.13K","1.44%"
"10-12-2025","1,490.90","1,492.00","1,505.70","1,484.80","1.32M","0.02%"
"09-12-2025","1,490.60","1,497.60","1,502.40","1,486.50","1.65M","-0.47%"
"08-12-2025","1,497.60","1,515.10","1,520.50","1,494.30","1.26M","-1.53%"
"05-12-2025","1,520.80","1,525.00","1,528.00","1,513.60","813.49K","-0.01%"
"04-12-2025","1,521.00","1,503.10","1,525.70","1,503.10","726.47K","0.86%"
"03-12-2025","1,508.00","1,516.70","1,522.80","1,495.10","1.03M","-0.57%"
"02-12-2025","1,516.60","1,520.00","1,531.50","1,513.20","1.76M","-0.43%"
"01-12-2025","1,523.10","1,532.00","1,536.30","1,517.50","1.01M","-0.54%"
"28-11-2025","1,531.30","1,525.20","1,535.80","1,520.60","991.04K","0.40%"
"27-11-2025","1,525.20","1,523.80","1,531.50","1,520.10","810.41K","0.09%"
"26-11-2025","1,523.80","1,505.00","1,525.50","1,505.00","1.09M","1.08%"
"25-11-2025","1,507.50","1,500.20","1,522.70","1,500.20","908.39K","0.23%"
"24-11-2025","1,504.00","1,515.00","1,524.80","1,500.00","2.80M","-0.52%"
"21-11-2025","1,511.80","1,521.10","1,527.00","1,507.70","1.13M","-1.14%"
"20-11-2025","1,529.20","1,526.90","1,534.80","1,519.40","896.75K","0.16%"
"19-11-2025","1,526.80","1,511.40","1,529.60","1,505.40","1.17M","0.81%"
"18-11-2025","1,514.50","1,530.00","1,535.00","1,512.10","747.91K","-1.37%"
"17-11-2025","1,535.60","1,537.50","1,538.40","1,526.50","912.32K","0.23%"
"14-11-2025","1,532.10","1,526.90","1,534.40","1,522.00","810.97K","0.41%"
"13-11-2025","1,525.80","1,520.00","1,534.90","1,515.40","1.22M","0.43%"
"12-11-2025","1,519.30","1,514.90","1,528.10","1,514.10","1.18M","0.29%"
"11-11-2025","1,514.90","1,511.30","1,517.50","1,506.10","850.77K","0.22%"
"10-11-2025","1,511.50","1,510.00","1,516.70","1,503.90","1.14M","0.39%"
"07-11-2025","1,505.70","1,500.00","1,510.00","1,491.60","1.04M","0.28%"
"06-11-2025","1,501.50","1,510.80","1,512.90","1,498.00","1.60M","-0.12%"
"04-11-2025","1,503.30","1,511.50","1,524.00","1,498.10","1.59M","-0.54%"
"03-11-2025","1,511.50","1,502.90","1,514.90","1,490.30","1.51M","0.68%"
"31-10-2025","1,501.30","1,510.10","1,529.40","1,500.00","3.37M","-2.52%"
"30-10-2025","1,540.10","1,587.00","1,593.30","1,504.00","4.05M","-2.59%"
"29-10-2025","1,581.10","1,575.00","1,588.00","1,571.70","898.97K","0.83%"
"28-10-2025","1,568.10","1,585.80","1,589.90","1,562.10","1.49M","-1.00%"
"27-10-2025","1,584.00","1,585.00","1,593.80","1,575.20","1.21M","-0.03%"
"24-10-2025","1,584.40","1,625.10","1,625.10","1,581.10","2.94M","-3.69%"
"23-10-2025","1,645.10","1,665.00","1,673.00","1,638.10","2.15M","-1.11%"
"21-10-2025","1,663.60","1,646.70","1,669.00","1,642.10","709.22K","1.49%"
"20-10-2025","1,639.10","1,590.00","1,647.00","1,577.90","3.37M","3.90%"
"17-10-2025","1,577.60","1,565.30","1,582.10","1,558.40","1.22M","0.52%"
"16-10-2025","1,569.40","1,559.00","1,572.00","1,555.10","989.79K","0.69%"
"15-10-2025","1,558.70","1,550.00","1,564.80","1,546.00","1.64M","0.41%"
"14-10-2025","1,552.30","1,563.00","1,566.10","1,537.10","1.06M","-0.72%"
"13-10-2025","1,563.60","1,559.00","1,566.90","1,550.10","671.62K","0.12%"
"10-10-2025","1,561.80","1,513.00","1,569.00","1,506.90","1.50M","3.22%"
"09-10-2025","1,513.10","1,510.00","1,516.70","1,499.30","878.17K","1.24%"
"08-10-2025","1,494.60","1,512.00","1,519.30","1,490.80","1.07M","-1.24%"
"07-10-2025","1,513.30","1,514.90","1,522.00","1,506.20","834.62K","0.01%"
"06-10-2025","1,513.10","1,511.00","1,520.00","1,497.80","772.03K","-0.30%"
"03-10-2025","1,517.70","1,522.00","1,537.80","1,509.50","1.07M","0.31%"
"01-10-2025","1,513.00","1,505.00","1,517.40","1,498.40","1.00M","0.65%"
"30-09-2025","1,503.30","1,488.10","1,506.60","1,488.10","1.04M","1.03%"
"29-09-2025","1,488.00","1,506.90","1,527.30","1,485.30","1.78M","-0.76%"
"26-09-2025","1,499.40","1,495.60","1,504.90","1,475.20","2.65M","-0.68%"
"25-09-2025","1,509.70","1,538.00","1,544.80","1,505.40","2.50M","-1.84%"
"24-09-2025","1,538.00","1,527.00","1,542.50","1,520.30","943.79K","0.71%"
"23-09-2025","1,527.10","1,542.20","1,550.70","1,517.50","1.49M","-0.98%"
"22-09-2025","1,542.20","1,575.00","1,583.20","1,540.00","1.26M","-2.13%"
"19-09-2025","1,575.80","1,581.00","1,584.90","1,557.50","1.46M","-0.15%"
"18-09-2025","1,578.20","1,560.00","1,580.00","1,556.40","874.86K","1.19%"
"17-09-2025","1,559.60","1,556.00","1,562.50","1,549.10","785.65K","0.04%"
"16-09-2025","1,559.00","1,556.00","1,560.20","1,550.00","471.40K","0.69%"
"15-09-2025","1,548.30","1,568.00","1,579.80","1,546.10","758.98K","-1.67%"
"12-09-2025","1,574.60","1,562.10","1,578.30","1,562.10","785.51K","0.88%"
"11-09-2025","1,560.80","1,563.50","1,570.50","1,554.10","732.91K","-0.19%"
"10-09-2025","1,563.80","1,555.00","1,571.00","1,553.90","718.31K","0.79%"
"09-09-2025","1,551.60","1,541.20","1,555.20","1,533.10","788.24K","0.67%"
"08-09-2025","1,541.20","1,554.50","1,564.90","1,538.90","588.55K","-0.79%"
"05-09-2025","1,553.40","1,577.80","1,585.60","1,550.00","701.87K","-1.55%"
"04-09-2025","1,577.80","1,599.00","1,599.00","1,573.70","614.47K","-0.04%"
"03-09-2025","1,578.40","1,570.00","1,596.40","1,569.00","1.16M","0.59%"
"02-09-2025","1,569.20","1,587.00","1,593.00","1,563.30","1.16M","-1.13%"
"01-09-2025","1,587.20","1,589.40","1,598.00","1,583.00","783.52K","-0.14%"
"29-08-2025","1,589.40","1,578.50","1,596.40","1,567.80","1.34M","0.58%"
"28-08-2025","1,580.30","1,594.00","1,594.00","1,568.70","1.90M","0.03%"
"26-08-2025","1,579.80","1,604.00","1,604.10","1,573.00","2.33M","-1.34%"
"25-08-2025","1,601.20","1,594.00","1,607.80","1,592.00","1.30M","0.53%"
"22-08-2025","1,592.80","1,590.00","1,602.00","1,585.00","1.57M","0.00%"
"21-08-2025","1,592.80","1,540.10","1,596.00","1,538.70","1.70M","3.02%"
"20-08-2025","1,546.10","1,539.20","1,556.90","1,533.40","936.56K","-0.18%"
"19-08-2025","1,548.90","1,565.20","1,568.70","1,546.10","898.75K","-1.04%"
