"Date","Price","Open","High","Low","Vol.","Change %"
"18-12-2025","979.90","973.30","987.40","973.30","14.85M","-0.42%"
"17-12-2025","984.00","996.00","996.00","980.80","19.08M","-1.04%"
"16-12-2025","994.30","990.10","998.70","990.10","20.05M","-0.18%"
"15-12-2025","996.10","992.00","1,001.80","992.00","9.79M","-0.54%"
"12-12-2025","1,001.50","1,003.00","1,004.70","998.20","11.99M","0.12%"
"11-12-2025","1,000.30","990.00","1,002.70","988.50","11.84M","1.06%"
"10-12-2025","989.80","997.50","998.50","985.30","15.32M","-0.73%"
"09-12-2025","997.10","994.90","1,002.80","994.00","15.29M","-0.60%"
"08-12-2025","1,003.10","1,000.00","1,006.50","997.50","12.90M","-0.02%"
"05-12-2025","1,003.30","992.00","1,008.00","990.20","12.84M","0.61%"
"04-12-2025","997.20","1,000.00","1,004.70","993.00","14.53M","-0.33%"
"03-12-2025","1,000.50","986.00","1,002.30","986.00","15.45M","1.08%"
"02-12-2025","989.80","988.00","994.40","985.00","27.32M","-1.23%"
"01-12-2025","1,002.10","1,017.50","1,017.50","999.30","16.75M","-0.55%"
"28-11-2025","1,007.60","1,007.00","1,012.05","1,004.20","15.99M","-0.19%"
"27-11-2025","1,009.50","1,002.10","1,016.80","1,001.00","25.54M","0.56%"
"26-11-2025","1,003.90","981.30","1,006.95","981.30","19.49M","1.42%"
"25-11-2025","989.80","1,004.00","1,006.10","988.40","24.99M","-0.94%"
"24-11-2025","999.15","1,000.00","1,011.45","993.60","32.20M","0.11%"
"21-11-2025","998.05","1,003.10","1,008.30","996.55","17.50M","-1.07%"
"20-11-2025","1,008.85","995.30","1,011.60","992.45","19.85M","1.43%"
"19-11-2025","994.60","990.00","996.55","984.00","19.81M","0.22%"
"18-11-2025","992.45","997.65","999.00","990.00","20.00M","-0.41%"
"17-11-2025","996.55","991.25","997.95","985.60","18.40M","0.70%"
"14-11-2025","989.60","976.05","991.65","976.05","21.39M","0.30%"
"13-11-2025","986.65","984.00","990.10","982.60","14.12M","-0.29%"
"12-11-2025","989.50","998.80","999.00","987.70","13.14M","-0.22%"
"11-11-2025","991.70","983.50","993.50","978.00","10.20M","0.73%"
"10-11-2025","984.50","982.30","990.95","980.20","15.99M","0.22%"
"07-11-2025","982.30","980.00","984.90","974.75","15.00M","-0.24%"
"06-11-2025","984.65","981.00","991.05","974.00","22.28M","-0.06%"
"04-11-2025","985.25","987.00","997.00","983.70","20.02M","-0.75%"
"03-11-2025","992.65","985.00","994.55","983.30","16.61M","0.54%"
"31-10-2025","987.30","994.00","1,004.45","981.15","23.22M","-1.09%"
"30-10-2025","998.15","1,000.00","1,009.50","997.10","19.96M","-0.96%"
"29-10-2025","1,007.85","1,004.90","1,012.50","1,000.00","17.77M","0.43%"
"28-10-2025","1,003.55","997.65","1,008.00","995.00","33.90M","0.06%"
"27-10-2025","1,002.95","996.50","1,009.05","996.20","15.70M","0.82%"
"24-10-2025","994.75","1,011.00","1,011.95","991.30","17.71M","-1.39%"
"23-10-2025","1,008.80","1,016.00","1,020.50","1,006.00","43.53M","0.11%"
"21-10-2025","1,007.70","1,006.00","1,010.00","1,004.00","3.47M","0.47%"
"20-10-2025","1,002.95","997.00","1,020.00","997.00","22.20M","0.04%"
"17-10-2025","1,002.55","993.95","1,009.00","986.00","25.21M","0.82%"
"16-10-2025","994.35","982.65","996.60","981.50","22.94M","1.65%"
"15-10-2025","978.25","975.00","984.90","973.35","23.31M","0.11%"
"14-10-2025","977.15","970.00","980.45","967.00","22.93M","0.02%"
"13-10-2025","977.00","974.30","981.00","972.00","18.63M","-0.40%"
"10-10-2025","980.90","979.00","986.20","978.10","13.76M","0.39%"
