"Date","Price","Open","High","Low","Vol.","Change %"
"18-12-2025","4,250.30","4,228.40","4,268.40","4,194.20","557.31K","0.52%"
"17-12-2025","4,228.40","4,260.50","4,270.00","4,218.20","645.81K","-0.77%"
"16-12-2025","4,261.40","4,324.00","4,329.40","4,242.90","1.01M","-1.39%"
"15-12-2025","4,321.60","4,252.00","4,342.00","4,252.00","827.86K","0.44%"
"12-12-2025","4,302.50","4,333.00","4,359.90","4,257.30","791.73K","-0.42%"
"11-12-2025","4,320.80","4,300.00","4,334.40","4,286.00","460.22K","0.62%"
"10-12-2025","4,294.10","4,310.50","4,332.40","4,271.00","949.81K","-0.21%"
"09-12-2025","4,303.00","4,272.50","4,314.00","4,187.00","1.67M","0.37%"
"08-12-2025","4,287.10","4,443.00","4,448.00","4,270.50","1.76M","-3.51%"
"05-12-2025","4,443.00","4,519.00","4,544.30","4,430.00","1.47M","-1.20%"
"04-12-2025","4,496.80","4,459.00","4,525.00","4,422.30","1.02M","1.36%"
"03-12-2025","4,436.30","4,517.00","4,525.00","4,420.90","1.03M","-1.60%"
"02-12-2025","4,508.50","4,525.00","4,532.30","4,482.20","652.60K","-0.49%"
"01-12-2025","4,530.70","4,562.00","4,584.00","4,501.10","750.90K","-0.26%"
"28-11-2025","4,542.40","4,489.90","4,549.00","4,477.00","786.28K","1.32%"
"27-11-2025","4,483.20","4,535.00","4,535.00","4,461.00","721.81K","-0.77%"
"26-11-2025","4,517.80","4,457.00","4,522.00","4,449.90","717.41K","1.72%"
"25-11-2025","4,441.60","4,450.00","4,477.00","4,430.00","1.20M","-0.08%"
"24-11-2025","4,445.10","4,425.00","4,502.50","4,405.00","3.44M","-3.26%"
"21-11-2025","4,595.00","4,707.00","4,708.00","4,585.00","1.16M","-2.58%"
"20-11-2025","4,716.60","4,763.90","4,775.80","4,710.00","798.35K","-0.58%"
"19-11-2025","4,744.20","4,805.00","4,822.20","4,735.00","847.01K","-1.32%"
"18-11-2025","4,807.90","4,814.00","4,857.00","4,788.00","958.80K","0.26%"
"17-11-2025","4,795.20","4,742.00","4,820.00","4,732.80","1.18M","1.38%"
"14-11-2025","4,729.80","4,747.00","4,775.00","4,710.10","681.74K","-0.45%"
"13-11-2025","4,751.00","4,736.00","4,771.20","4,636.70","1.28M","0.05%"
"12-11-2025","4,748.50","4,885.00","4,921.00","4,702.00","2.72M","-2.35%"
"11-11-2025","4,862.60","4,795.10","4,878.00","4,787.00","1.33M","1.52%"
"10-11-2025","4,789.80","4,651.10","4,795.00","4,645.00","1.43M","3.53%"
"07-11-2025","4,626.60","4,580.00","4,636.50","4,526.00","536.73K","0.72%"
"06-11-2025","4,593.60","4,650.00","4,686.60","4,575.00","768.66K","-1.97%"
"04-11-2025","4,685.80","4,670.10","4,715.00","4,670.10","851.90K","-0.19%"
"03-11-2025","4,694.70","4,680.00","4,709.00","4,655.40","470.19K","0.32%"
"31-10-2025","4,679.80","4,639.90","4,708.60","4,636.90","1.18M","0.64%"
"30-10-2025","4,650.20","4,693.00","4,694.00","4,625.00","1.15M","-0.96%"
"29-10-2025","4,695.10","4,737.90","4,745.00","4,685.00","916.23K","-0.62%"
"28-10-2025","4,724.50","4,766.60","4,767.60","4,706.30","947.98K","-0.68%"
"27-10-2025","4,756.80","4,830.00","4,830.00","4,747.80","739.00K","-1.19%"
"24-10-2025","4,814.20","4,825.00","4,867.40","4,797.50","627.20K","0.08%"
"23-10-2025","4,810.20","4,880.80","4,885.00","4,802.90","678.73K","-0.99%"
"21-10-2025","4,858.20","4,880.80","4,880.80","4,850.50","128.99K","-0.04%"
"20-10-2025","4,860.00","4,921.90","4,923.00","4,850.50","616.10K","-0.38%"
"17-10-2025","4,878.50","4,861.30","4,978.00","4,850.70","1.83M","0.35%"
"16-10-2025","4,861.30","4,860.00","4,888.70","4,827.20","721.46K","0.33%"
"15-10-2025","4,845.20","4,747.00","4,880.00","4,747.00","991.77K","2.07%"
"14-10-2025","4,746.80","4,755.00","4,793.90","4,730.10","790.98K","0.03%"
"13-10-2025","4,745.40","4,810.00","4,819.90","4,723.00","1.05M","-1.81%"
"10-10-2025","4,832.90","4,835.00","4,899.70","4,827.00","678.45K","-0.28%"
"09-10-2025","4,846.30","4,792.00","4,863.20","4,744.00","1.00M","1.19%"
"08-10-2025","4,789.10","4,842.00","4,854.50","4,762.90","704.08K","-1.00%"
"07-10-2025","4,837.60","4,845.20","4,872.90","4,809.00","607.43K","-0.16%"
"06-10-2025","4,845.20","4,870.40","4,903.00","4,831.20","555.39K","-0.52%"
"03-10-2025","4,870.40","4,794.40","4,877.00","4,790.10","982.33K","1.39%"
"01-10-2025","4,803.40","4,732.00","4,827.00","4,721.10","790.73K","1.20%"
"30-09-2025","4,746.50","4,746.00","4,779.00","4,722.70","697.34K","0.14%"
"29-09-2025","4,740.00","4,750.00","4,833.00","4,703.50","1.31M","0.08%"
"26-09-2025","4,736.10","4,815.00","4,822.30","4,726.20","1.79M","-0.82%"
"25-09-2025","4,775.20","4,725.00","4,827.60","4,710.00","1.93M","1.09%"
"24-09-2025","4,723.90","4,797.00","4,816.80","4,715.00","718.63K","-1.58%"
"23-09-2025","4,799.90","4,814.50","4,834.80","4,758.10","746.87K","-0.18%"
"22-09-2025","4,808.70","4,916.20","4,941.30","4,798.00","976.36K","-2.19%"
"19-09-2025","4,916.20","4,856.80","4,930.00","4,852.00","1.17M","1.22%"
"18-09-2025","4,856.80","4,885.00","4,902.10","4,846.00","926.59K","-0.68%"
"17-09-2025","4,890.20","4,842.10","4,931.00","4,834.00","1.55M","1.04%"
"16-09-2025","4,840.00","4,794.90","4,843.00","4,760.40","1.18M","0.93%"
"15-09-2025","4,795.20","4,790.00","4,845.00","4,780.00","2.02M","1.05%"
"12-09-2025","4,745.60","4,581.20","4,750.00","4,581.20","2.82M","3.59%"
"11-09-2025","4,581.20","4,565.00","4,634.00","4,544.30","1.53M","0.52%"
"10-09-2025","4,557.50","4,471.90","4,566.00","4,430.20","1.72M","2.32%"
"09-09-2025","4,454.00","4,450.00","4,474.00","4,427.70","888.00K","0.23%"
"08-09-2025","4,443.60","4,424.00","4,470.00","4,420.10","599.05K","0.88%"
"05-09-2025","4,404.80","4,444.00","4,475.00","4,389.00","721.10K","-0.72%"
"04-09-2025","4,436.90","4,479.00","4,479.00","4,425.10","1.02M","-0.32%"
"03-09-2025","4,451.00","4,451.50","4,480.70","4,428.40","764.00K","-0.01%"
"02-09-2025","4,451.50","4,438.50","4,495.00","4,431.30","871.22K","0.49%"
"01-09-2025","4,429.60","4,341.00","4,448.60","4,323.00","803.11K","2.24%"
"29-08-2025","4,332.60","4,344.70","4,415.00","4,320.00","1.04M","-0.28%"
"28-08-2025","4,344.70","4,384.00","4,430.00","4,338.50","1.16M","-0.89%"
"26-08-2025","4,383.60","4,456.00","4,457.00","4,370.00","1.12M","-1.66%"
"25-08-2025","4,457.60","4,510.00","4,513.00","4,451.60","1.21M","-0.34%"
"22-08-2025","4,473.00","4,485.20","4,532.00","4,463.00","1.42M","-0.02%"
"21-08-2025","4,474.00","4,490.00","4,526.80","4,430.70","1.83M","0.13%"
"20-08-2025","4,468.40","4,600.00","4,605.00","4,460.00","3.11M","0.35%"
"19-08-2025","4,452.60","4,510.00","4,510.00","4,425.10","1.26M","-1.37%"
"18-08-2025","4,514.30","4,590.60","4,600.00","4,502.40","1.13M","-0.90%"
"14-08-2025","4,555.10","4,537.00","4,568.50","4,472.40","1.27M","0.68%"
"13-08-2025","4,524.40","4,439.00","4,568.60","4,425.00","2.71M","2.61%"
"12-08-2025","4,409.40","4,467.00","4,489.60","4,325.00","2.94M","-0.80%"
"11-08-2025","4,444.90","4,460.00","4,545.00","4,439.00","1.02M","0.10%"
"08-08-2025","4,440.60","4,542.00","4,549.90","4,433.50","659.53K","-2.42%"
"07-08-2025","4,550.60","4,502.90","4,560.00","4,483.00","719.82K","0.26%"
"06-08-2025","4,538.60","4,619.00","4,619.00","4,509.50","880.92K","-0.86%"
"05-08-2025","4,578.20","4,537.00","4,586.00","4,500.00","776.25K","0.89%"
"04-08-2025","4,537.90","4,438.70","4,544.90","4,424.20","742.46K","2.23%"
"01-08-2025","4,438.70","4,533.90","4,540.90","4,428.00","649.12K","-2.10%"
"31-07-2025","4,533.90","4,464.00","4,577.40","4,464.00","770.34K","-0.24%"
"30-07-2025","4,545.00","4,525.00","4,560.00","4,500.90","727.64K","1.04%"
"29-07-2025","4,498.00","4,470.10","4,519.00","4,401.00","1.43M","-0.19%"
"28-07-2025","4,506.60","4,549.90","4,595.00","4,476.50","689.01K","-1.01%"
"25-07-2025","4,552.70","4,680.00","4,680.10","4,543.10","973.55K","-2.73%"
"24-07-2025","4,680.60","4,715.80","4,746.20","4,670.00","861.60K","-0.75%"
"23-07-2025","4,715.80","4,771.00","4,779.50","4,666.00","866.29K","-0.89%"
"22-07-2025","4,758.20","4,775.00","4,809.90","4,748.10","908.90K","0.15%"
"21-07-2025","4,751.00","4,651.70","4,758.10","4,633.00","1.13M","2.13%"
"18-07-2025","4,651.70","4,804.80","4,808.90","4,643.30","1.68M","-2.87%"
"17-07-2025","4,789.30","4,875.00","4,889.00","4,780.00","886.16K","-1.69%"
"16-07-2025","4,871.60","4,898.00","4,903.00","4,852.00","571.41K","-0.51%"
"15-07-2025","4,896.80","4,899.00","4,932.00","4,882.00","753.06K","0.22%"
"14-07-2025","4,886.20","4,866.10","4,915.00","4,840.00","831.41K","0.41%"
"11-07-2025","4,866.10","4,881.00","4,920.00","4,819.70","1.09M","-1.01%"
"10-07-2025","4,915.60","5,007.40","5,034.00","4,890.20","1.33M","-1.83%"
"09-07-2025","5,007.40","5,012.00","5,065.00","4,993.80","750.11K","0.10%"
"08-07-2025","5,002.50","5,010.00","5,049.80","4,966.50","940.95K","-0.20%"
"07-07-2025","5,012.60","4,994.00","5,048.60","4,955.00","967.12K","0.39%"
"04-07-2025","4,993.20","4,955.00","5,020.00","4,943.80","1.70M","1.26%"
"03-07-2025","4,931.20","4,881.00","4,971.80","4,881.00","1.12M","0.67%"
"02-07-2025","4,898.30","4,912.20","4,939.70","4,845.00","819.89K","-0.28%"
"01-07-2025","4,912.20","4,877.90","4,955.00","4,877.00","1.33M","0.87%"
"30-06-2025","4,869.80","4,910.00","4,920.00","4,845.00","985.41K","-0.57%"
"27-06-2025","4,897.90","4,835.00","4,905.20","4,828.50","1.45M","1.68%"
"26-06-2025","4,817.10","4,816.80","4,852.50","4,795.10","1.29M","0.51%"
"25-06-2025","4,792.70","4,900.00","4,900.00","4,785.00","2.08M","-1.92%"
"24-06-2025","4,886.50","5,050.00","5,051.80","4,875.00","2.44M","-2.82%"
"23-06-2025","5,028.20","4,973.10","5,060.00","4,973.00","1.86M","1.11%"
"20-06-2025","4,973.10","4,910.00","4,983.00","4,853.00","1.90M","1.44%"
"19-06-2025","4,902.30","5,020.00","5,031.50","4,844.00","1.74M","-1.84%"
"18-06-2025","4,994.00","5,054.00","5,068.00","4,985.00","1.04M","-1.06%"
"17-06-2025","5,047.30","5,079.00","5,132.60","5,040.00","1.69M","-0.32%"
"16-06-2025","5,063.70","5,048.80","5,110.00","4,990.00","1.62M","0.75%"
"13-06-2025","5,026.00","4,900.00","5,083.50","4,892.10","2.52M","1.41%"
"12-06-2025","4,956.00","5,050.00","5,075.00","4,936.10","1.25M","-1.66%"
"11-06-2025","5,039.80","5,134.50","5,145.00","5,020.00","1.76M","-1.41%"
"10-06-2025","5,112.10","5,040.00","5,147.00","5,022.10","3.02M","2.07%"
"09-06-2025","5,008.60","5,014.20","5,033.50","4,987.00","1.05M","0.39%"
"06-06-2025","4,989.30","5,092.90","5,099.00","4,970.00","2.14M","-1.62%"
"05-06-2025","5,071.60","5,000.00","5,099.00","4,990.00","2.47M","2.25%"
"04-06-2025","4,959.80","5,000.00","5,050.00","4,891.00","2.17M","-0.59%"
"03-06-2025","4,989.20","5,027.00","5,055.90","4,970.00","1.16M","-0.56%"
"02-06-2025","5,017.10","4,970.00","5,035.00","4,950.00","1.08M","0.86%"
"30-05-2025","4,974.10","5,004.00","5,065.00","4,958.40","1.85M","-0.53%"
"29-05-2025","5,000.70","5,040.00","5,043.00","4,964.00","1.40M","-0.34%"
"28-05-2025","5,017.80","5,069.00","5,075.00","5,001.00","1.27M","-0.22%"
"27-05-2025","5,029.10","5,003.20","5,110.00","4,979.00","2.49M","0.52%"
"26-05-2025","5,003.20","4,990.00","5,034.10","4,950.00","1.59M","0.84%"
"23-05-2025","4,961.60","5,058.00","5,061.90","4,950.50","2.32M","-1.56%"
"22-05-2025","5,040.00","5,001.10","5,064.50","4,962.00","2.32M","0.78%"
"21-05-2025","5,001.10","4,830.00","5,009.90","4,779.30","3.49M","3.09%"
"20-05-2025","4,851.30","4,950.00","4,998.70","4,838.10","3.94M","-3.29%"
"19-05-2025","5,016.30","5,140.00","5,157.90","4,972.00","4.80M","-2.17%"
"16-05-2025","5,127.70","4,874.00","5,165.00","4,833.60","6.75M","5.40%"
"15-05-2025","4,864.80","4,825.00","4,883.00","4,747.20","4.87M","2.03%"
"14-05-2025","4,768.00","4,647.90","4,798.00","4,580.10","8.44M","3.43%"
"13-05-2025","4,609.80","4,466.70","4,648.80","4,460.70","4.34M","3.83%"
"12-05-2025","4,439.70","4,603.10","4,608.00","4,420.00","4.02M","-1.37%"
"09-05-2025","4,501.20","4,380.00","4,579.20","4,360.20","3.54M","1.77%"
"08-05-2025","4,422.90","4,488.00","4,538.00","4,386.00","2.29M","-1.06%"
"07-05-2025","4,470.30","4,417.40","4,591.80","4,411.80","2.83M","-0.83%"
"06-05-2025","4,507.50","4,602.00","4,675.00","4,490.00","2.27M","-1.81%"
"05-05-2025","4,590.80","4,536.80","4,598.50","4,511.90","1.50M","2.19%"
"02-05-2025","4,492.40","4,499.00","4,597.00","4,478.00","2.01M","0.10%"
"30-04-2025","4,487.90","4,610.00","4,637.00","4,466.20","2.51M","-2.63%"
"29-04-2025","4,609.30","4,473.00","4,660.00","4,448.50","5.19M","4.13%"
"28-04-2025","4,426.30","4,209.90","4,439.90","4,200.50","4.01M","5.48%"
"25-04-2025","4,196.40","4,305.00","4,339.00","4,147.50","2.30M","-2.41%"
"24-04-2025","4,300.00","4,307.00","4,364.80","4,291.30","1.55M","-0.16%"
"23-04-2025","4,307.00","4,304.90","4,360.00","4,255.30","1.80M","0.49%"
"22-04-2025","4,286.00","4,328.00","4,338.90","4,272.00","1.22M","-0.54%"
"21-04-2025","4,309.10","4,248.00","4,336.00","4,225.00","1.51M","2.10%"
"17-04-2025","4,220.40","4,209.00","4,253.00","4,192.10","1.22M","0.27%"
"16-04-2025","4,209.20","4,215.00","4,242.00","4,171.30","1.49M","0.07%"
"15-04-2025","4,206.10","4,250.00","4,250.00","4,170.80","1.57M","2.41%"
"11-04-2025","4,107.20","4,075.00","4,142.70","4,066.65","1.52M","1.90%"
"09-04-2025","4,030.70","4,037.00","4,070.00","3,965.85","1.59M","-0.28%"
"08-04-2025","4,041.95","4,106.60","4,136.40","4,000.00","2.07M","0.84%"
"07-04-2025","4,008.20","3,821.00","4,046.15","3,820.10","3.02M","-5.45%"
"04-04-2025","4,239.10","4,309.55","4,351.85","4,204.00","2.50M","-1.85%"
"03-04-2025","4,319.20","4,196.55","4,328.00","4,185.25","2.37M","2.00%"
"02-04-2025","4,234.40","4,239.00","4,252.50","4,151.05","2.52M","0.25%"
"01-04-2025","4,223.70","4,400.00","4,444.95","4,207.05","6.63M","1.11%"
"28-03-2025","4,177.45","4,198.10","4,294.00","4,161.35","3.30M","0.40%"
"27-03-2025","4,160.95","4,150.00","4,209.00","4,120.70","2.97M","0.79%"
"26-03-2025","4,128.30","4,035.00","4,185.00","3,971.05","4.88M","2.89%"
"25-03-2025","4,012.45","4,200.40","4,215.00","4,000.80","3.63M","-2.84%"
"24-03-2025","4,129.80","3,953.00","4,158.00","3,940.20","4.25M","6.13%"
"21-03-2025","3,891.25","3,849.00","3,947.45","3,812.50","3.31M","1.89%"
"20-03-2025","3,818.95","3,789.00","3,848.00","3,704.15","2.96M","2.09%"
"19-03-2025","3,740.65","3,600.00","3,772.40","3,577.55","2.91M","4.49%"
"18-03-2025","3,579.95","3,500.00","3,589.80","3,470.55","2.02M","4.07%"
"17-03-2025","3,439.90","3,400.00","3,484.00","3,399.00","1.13M","1.29%"
"13-03-2025","3,396.15","3,435.00","3,485.60","3,390.85","1.23M","-0.56%"
"12-03-2025","3,415.40","3,470.00","3,494.25","3,388.25","1.08M","-1.28%"
"11-03-2025","3,459.85","3,390.65","3,471.00","3,355.00","1.50M","1.23%"
"10-03-2025","3,417.90","3,452.05","3,538.95","3,410.00","2.15M","-0.99%"
"07-03-2025","3,452.05","3,418.65","3,502.00","3,371.65","1.73M","1.01%"
"06-03-2025","3,417.70","3,472.00","3,497.00","3,405.25","1.33M","-0.20%"
"05-03-2025","3,424.50","3,313.00","3,435.95","3,295.95","1.88M","3.42%"
"04-03-2025","3,311.15","3,162.00","3,330.00","3,108.95","2.60M","3.89%"
"03-03-2025","3,187.05","3,096.00","3,204.95","3,046.05","2.31M","3.20%"
"28-02-2025","3,088.20","3,202.00","3,224.80","3,080.00","2.41M","-4.76%"
"27-02-2025","3,242.65","3,300.00","3,316.70","3,230.00","1.57M","-1.36%"
"25-02-2025","3,287.40","3,350.50","3,377.05","3,270.00","1.14M","-1.88%"
